"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,1.0,1184.112157490195,41855.62075180833,172.45685809000247,7759.755837339545,3255.8887807317205,142.87118316310966,38.47801013792696,22.96383332982892
2.0,1.0,1561.0645856525935,88779.17304329095,136.02715705296706,5568.890145453104,3313.9975821501152,121.69275929047501,29.645382727637585,16.996595982465152
3.0,1.0,2237.0126727808874,85729.39884132062,112.68147106139696,2867.1085815173014,3404.7901215029106,121.57842063836311,29.288585147784435,22.60093673165212
4.0,1.0,2520.2618611905855,72843.8105964813,112.4235164794869,6455.385679255111,3364.1900098277074,117.66227752842944,27.060870961377933,9.735013502876306
5.0,1.0,5279.946464914039,85998.16946302317,97.57045280451264,2715.48114028672,3456.0290633028662,106.11415664957246,21.683773054702186,15.668308325067871
6.0,1.0,5930.285874285644,56029.9652059769,142.41112371555357,6994.449153377407,3336.8529681577693,92.05485220580564,15.886536254848698,11.288015651016455
7.0,1.0,6276.713537600078,58735.81757993185,540.5273061374569,453931.3926539204,424.1395898216527,131.19993074740108,32.028494175820356,3.618345890583051
8.0,1.0,7915.309560084004,72154.7581342608,206.57191861948127,10797.379482968996,3346.402361729466,114.81555627913498,25.269608719678157,19.06360770663058
9.0,1.0,8054.716268140552,38751.76340438968,231.12701465371387,18058.516671378977,3094.5093630753245,123.54152268818088,29.910763411363188,15.366340659386212
10.0,1.0,8081.952533024794,72731.05564626004,106.99002180962664,5614.516340796934,3377.7960562109133,129.01835646490142,30.90373205313111,11.091172543921045
11.0,1.0,8414.262053717617,54418.48692060376,144.83168196457203,5932.011363284558,3400.538470889228,125.11945828663087,29.708736423796676,18.584543368635412
12.0,1.0,9184.222349342605,77580.84607252391,159.2960693513716,7318.125803987458,3318.173882039852,91.91986490344756,16.81742229913187,13.451194932790145
13.0,1.0,10135.510948095553,82403.99947177143,84.96127037261206,3537.095664637772,3460.3471721433634,145.01402979385117,40.3359440513717,12.45945028259187
14.0,1.0,10212.03187065237,48446.15723324808,148.68540599605177,5319.102391286926,3354.8010184904288,101.06879032957276,20.50187291875055,17.67347308644165
15.0,1.0,11179.412931179948,26553.17980623313,206.48084273307546,14919.383862175264,3149.0579064178633,113.16573228947831,24.215791801454408,13.61851644986467
16.0,1.0,12202.886618659324,74536.64611382477,181.1428354639993,10371.992957640237,3235.7400940724488,112.17897899599092,24.70978613399781,14.936395800935037
17.0,1.0,12423.83208246643,11828.422444164507,133.4622669632216,7415.355766057817,3321.2034903421795,110.99569596266169,24.0041223876132,11.253082038224973
18.0,1.0,12379.416547295912,97678.39424814522,193.02696991860242,13144.04497508359,3126.760605444712,137.21172051652366,33.881073698690635,16.339167819962714
19.0,1.0,12882.493552940183,62924.89147233813,208.7458281435972,15306.667670514475,3097.1113554970866,139.91433069345138,38.22521986552892,16.72776118075268
20.0,1.0,12844.38625768818,95212.53048497494,172.02026356235626,9823.1480037625,3249.581191450853,100.39510455521459,19.326048691297462,12.757992192940495
21.0,1.0,13947.577918087127,106617.18793270289,246.9539276738552,22431.93234914679,2986.476405930823,109.80977955792785,24.041491886490228,12.582897145748433
22.0,1.0,14099.12508384895,51079.60096155321,85.26285783033356,2069.421588276636,3466.3699343497756,101.16513919745758,20.737208788834934,14.984255084325799
23.0,1.0,14431.9110555005,77702.63793285772,201.12509031845693,16847.099758038235,3056.6207947854787,110.40051689970842,22.99567719448777,11.185388720978176
24.0,1.0,14403.199380598533,78480.33778502588,4.562152124879334,1894.103089711049,3501.608695433893,162.34475750264752,50.13320123567937,0.8062803064102704
25.0,1.0,14475.75600851416,116667.85908621959,150.94056821644793,5800.192139807557,3292.2089351667464,124.07077870475692,30.262573651386813,20.46129199884079
26.0,1.0,17393.315166575565,57755.06022716633,108.8626500452454,4920.3086150308045,3459.352299857268,129.8748795811688,32.48130267599073,13.169699453311617
27.0,1.0,17787.81175113761,17474.16588053496,108.52942333987966,4152.347856015335,3579.596427231419,150.73729209699098,41.38173202024251,17.95053139036961
28.0,1.0,17863.73337950888,17786.688059630975,163.64227278363833,11573.99328749023,3341.009057655399,161.41322007362814,49.54501054314212,15.679468095784772
29.0,1.0,19131.223586628006,66740.88137944519,106.39895513768514,2859.26977915787,3486.871317460799,117.19417811259595,26.490628150834958,19.497554767037336
30.0,1.0,19478.087480303246,122507.25429265921,136.24081646476273,4444.8551516698935,3340.678796931732,103.53546699461084,21.370547825990393,18.185436826582404
31.0,1.0,19739.722535473553,29648.340948756988,61.52790394242956,2114.5536766715613,3454.376965992635,121.04927328647851,29.91164001760309,9.182994629747117
32.0,1.0,21056.773777380542,24382.097012699276,91.21149982483433,3076.6704345670832,3564.673500572487,98.1185056029772,18.380888574367344,11.222992359100346
33.0,1.0,21243.269878192605,28004.62922675153,116.41424947064824,5106.770523027064,3365.3949937364564,139.28203049813888,38.961707585247495,15.53511904516629
34.0,1.0,23954.977021846444,28058.74001039889,140.39532870491172,7753.288731459906,3273.2481862430072,160.42407760289407,49.577152946600265,17.117315148467295
35.0,1.0,25814.771018993553,26607.731653467137,120.25206655319576,4566.9611818553685,3464.914638324194,143.42118776540252,38.389615027225915,19.062013152764262
36.0,1.0,27124.460080582463,83243.33350050414,107.7223055163794,4676.373124360945,3453.3619851373123,127.69370962747334,32.332842937632606,13.34065016134909
37.0,1.0,27809.80505211613,13828.592565958957,168.675065584591,17377.217188201852,3306.0656547639837,148.12405181716036,36.69962369573526,10.215641245302134
38.0,1.0,28500.96582935446,24682.55796435441,81.82400391858302,3321.823056544644,3438.4005268192277,161.09724135112438,49.075934440192846,13.652075287611344
39.0,1.0,29105.70354308831,23406.743228420506,131.49179608793983,4428.692533200909,3432.1639081545704,112.2985025751553,24.957633607753127,18.429780081179082
40.0,1.0,29785.245093233687,28263.203879656314,149.4317804333098,7304.37668776396,3305.727770407325,116.32279450522897,25.18336812837134,14.964175388756583
41.0,1.0,30582.757197972136,9514.182320714877,159.47639733158252,7849.176511151035,3389.3290376328555,145.67600450804255,39.969365303699725,19.805325576216415
42.0,1.0,30616.480585764333,58153.84994797493,127.13371678946503,7082.531509927041,3422.2842867745444,117.04292953430436,25.885428825743887,11.268094976282047
43.0,1.0,30872.494962328186,89835.68275272126,143.86167164309745,8279.467732569115,3319.070652692142,103.8947155161518,20.42964794592619,10.970953398220836
44.0,1.0,31251.657444969038,96804.26383604668,230.30172905594335,20904.781472767685,3019.9287151254007,139.13475193366529,37.64167242527409,14.835362960801952
45.0,1.0,31663.81919256974,36044.568292375305,156.82071148705296,7403.298484778427,3393.953797671135,148.57379699168249,41.21764348877629,20.70306992092318
46.0,1.0,32106.87334017855,103244.18642314008,119.24059537125002,5758.410752886232,3424.0306810310594,103.78794118775612,20.611819733527636,10.830423054838676
47.0,1.0,32871.52485757916,9353.017446658157,223.93777995615113,12548.339450930423,3303.553751139074,148.20702585468192,42.135153814034005,24.826892941633552
48.0,1.0,33725.79805620992,18631.667905028888,280.43979517811323,35749.77270412397,2871.7063578429884,139.62586089466134,36.55780038688334,12.919209981676806
49.0,1.0,34165.120642549075,47950.802443324006,81.97270682399804,2070.6158976295656,3432.8407981202768,84.94018114870923,14.070768542248722,11.680598916791455
50.0,1.0,35680.87315773407,88337.71819551194,95.81766306767352,2510.7222809914165,3439.118781788216,150.60750947009387,44.898942723107254,23.09762095217379
51.0,1.0,36421.24101756527,96365.43690682032,128.39980338256015,6695.614406979898,3337.251634133585,119.39444343021039,28.22280805583391,12.388844383823592
52.0,1.0,37889.06862648223,77472.98974125036,167.1810650995954,13208.641672826196,3242.6215384002485,127.08273777046826,30.738186514637412,11.331971792597178
